respondent_id,question,response
240,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
240,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
241,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
243,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
243,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
243,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
244,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
244,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
244,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
244,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
247,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
247,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
247,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
251,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
251,Please tick the companies where you feel you are a customer/user of their services today.,GoodMorning Hotels
254,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
254,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
255,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
255,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
255,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
256,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
256,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
258,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
259,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
259,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
259,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
259,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
263,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
263,Please tick the companies where you feel you are a customer/user of their services today.,ProfilHotels
263,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
264,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
264,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
266,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
266,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
267,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
267,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
267,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
268,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
268,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
268,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
269,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
269,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
270,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
270,Please tick the companies where you feel you are a customer/user of their services today.,GoodMorning Hotels
271,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
274,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
276,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
276,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
276,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
276,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
276,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
278,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
278,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
278,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
279,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
281,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
281,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
282,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
283,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
283,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
286,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
286,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
286,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
287,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
287,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
287,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
287,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
289,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
289,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
289,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
289,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
290,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
290,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
291,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
292,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
292,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
294,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
294,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
295,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
300,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
300,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
300,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
300,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
301,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
301,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
301,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
301,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
301,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
306,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
