respondent_id,interest
394,Series on TV or online
394,Foreign news & foreign policy
394,Practising a sport
395,Cookery
397,Books/literature
397,Films
397,Outdoor recreation
397,Sustainability & environment
397,Health & wellness
397,Interior design
397,Arts & Crafts
397,Local news
397,Cookery
397,Fashion and clothing
397,Music and theatre
397,Politics
397,Foreign news & foreign policy
397,Plants
397,growing & gardening
398,Arts & Crafts
398,Cookery
398,Travelling abroad
399,Cars and lorries
399,Films
399,Gaming (e-sports
399,computer games
399,online games etc)
399,Health & wellness
399,Travelling abroad
399,Series on TV or online
399,Sports news
399,Theatre
399,dance & other performing arts
400,Books/literature
400,Films
400,Outdoor recreation
400,Interior design
400,Fashion and clothing
400,Music and theatre
400,Series on TV or online
400,Shopping
400,Sports news
400,Foreign news & foreign policy
401,Books/literature
401,Economy & business
401,Outdoor recreation
401,Gaming (e-sports
401,computer games
401,online games etc)
401,Hunting or fishing
401,Music and theatre
401,Sports news
401,Theatre
401,dance & other performing arts
404,Economy & business
404,Fitness & training
404,Outdoor recreation
404,Sustainability & environment
404,Health & wellness
404,Arts & Crafts
404,Music and theatre
404,Politics
404,Theatre
404,dance & other performing arts
404,Foreign news & foreign policy
404,Practising a sport
410,Cars and lorries
410,Films
410,Construction & carpentry
410,Hunting or fishing
410,Music and theatre
410,New technologies & digitalisation
410,Travelling abroad
411,Outdoor recreation
411,Music and theatre
411,New technologies & digitalisation
411,Travelling abroad
411,Sports news
411,Foreign news & foreign policy
411,Practising a sport
413,Books/literature
413,Economy & business
413,Films
413,Fitness & training
413,Outdoor recreation
413,Sustainability & environment
413,Health & wellness
413,Interior design
413,Arts & Crafts
413,Local news
413,Fashion and clothing
413,Music and theatre
413,New technologies & digitalisation
413,Entertainment & celebrities
413,Politics
413,Travelling abroad
413,Series on TV or online
413,Sports news
413,Theatre
413,dance & other performing arts
413,Foreign news & foreign policy
414,Books/literature
414,Economy & business
414,Films
414,Outdoor recreation
414,Local news
414,Cookery
414,Music and theatre
414,New technologies & digitalisation
414,Travelling abroad
414,Series on TV or online
414,Foreign news & foreign policy
415,Books/literature
415,Films
415,Fitness & training
415,Outdoor recreation
415,Sustainability & environment
415,Health & wellness
415,Interior design
415,Arts & Crafts
415,Fashion and clothing
415,Music and theatre
415,Entertainment & celebrities
415,Series on TV or online
415,Theatre
415,dance & other performing arts
415,Foreign news & foreign policy
415,Plants
415,growing & gardening
419,Economy & business
419,Films
419,Fitness & training
419,Outdoor recreation
419,Health & wellness
419,Hunting or fishing
419,Cookery
419,Music and theatre
419,Travelling abroad
419,Theatre
419,dance & other performing arts
419,Foreign news & foreign policy
423,Books/literature
423,Films
423,Travelling abroad
423,Series on TV or online
423,Shopping
423,Theatre
423,dance & other performing arts
423,Plants
423,growing & gardening
424,Cars and lorries
424,Books/literature
424,Films
424,Outdoor recreation
424,Gaming (e-sports
